date,fremont_bridge_nb,fremont_bridge_sb
2017-06-22T15:00:00.000,200,81
2017-06-28T14:00:00.000,91,44
2017-06-11T23:00:00.000,16,9
2017-06-23T03:00:00.000,3,2
2017-06-01T03:00:00.000,2,1
2017-06-30T16:00:00.000,417,115
2017-06-10T13:00:00.000,195,100
2017-06-03T16:00:00.000,144,76
2017-06-18T18:00:00.000,93,51
2017-06-10T08:00:00.000,99,51
2017-06-23T08:00:00.000,594,332
2017-06-15T04:00:00.000,5,3
2017-06-28T13:00:00.000,85,41
2017-06-06T11:00:00.000,121,58
2017-06-02T08:00:00.000,522,296
2017-06-15T09:00:00.000,180,100
2017-06-26T16:00:00.000,328,86
2017-06-19T17:00:00.000,714,158
2017-06-02T09:00:00.000,275,141
2017-06-07T10:00:00.000,159,73
2017-06-22T10:00:00.000,149,71
2017-06-15T03:00:00.000,4,3
2017-06-24T23:00:00.000,32,11
2017-06-14T00:00:00.000,8,3
2017-06-21T12:00:00.000,101,48
2017-06-24T03:00:00.000,4,3
2017-06-04T15:00:00.000,176,73
2017-06-17T22:00:00.000,30,16
2017-06-17T20:00:00.000,48,19
2017-06-10T16:00:00.000,230,148
2017-06-18T03:00:00.000,3,1
2017-06-21T16:00:00.000,393,103
2017-06-25T12:00:00.000,209,105
2017-06-24T05:00:00.000,17,11
2017-06-11T03:00:00.000,3,1
2017-06-07T03:00:00.000,3,3
2017-06-22T04:00:00.000,11,6
2017-06-13T07:00:00.000,333,186
2017-01-31T02:00:00.000,0,0
2017-06-01T18:00:00.000,416,128
2017-06-25T04:00:00.000,3,3
2017-06-22T17:00:00.000,743,178
2017-06-13T05:00:00.000,43,29
2017-06-13T16:00:00.000,278,95
2017-06-15T07:00:00.000,241,128
2017-06-02T20:00:00.000,123,57
2017-06-10T12:00:00.000,185,84
2017-06-10T14:00:00.000,237,126
2017-06-13T17:00:00.000,568,124
2017-06-04T02:00:00.000,4,1
2017-06-21T04:00:00.000,4,2
2017-06-28T15:00:00.000,151,64
2017-06-11T22:00:00.000,29,10
2017-06-17T19:00:00.000,87,43
2017-06-11T13:00:00.000,237,136
2017-06-20T23:00:00.000,23,6
2017-06-25T21:00:00.000,59,32
2017-06-06T08:00:00.000,747,418
2017-06-08T20:00:00.000,103,45
2017-06-05T01:00:00.000,4,3
2017-06-24T04:00:00.000,5,2
2017-06-28T09:00:00.000,304,144
2017-06-09T20:00:00.000,69,22
2017-06-10T22:00:00.000,48,23
2017-01-19T03:00:00.000,0,0
2017-06-08T14:00:00.000,50,18
2017-06-25T03:00:00.000,3,1
2017-06-01T02:00:00.000,3,2
2017-06-30T14:00:00.000,183,75
2017-06-16T18:00:00.000,384,113
2017-06-01T08:00:00.000,467,257
2017-06-18T02:00:00.000,6,3
2017-06-09T16:00:00.000,349,83
2017-06-15T15:00:00.000,65,19
2017-06-22T16:00:00.000,398,118
2017-06-03T10:00:00.000,120,64
2017-06-11T08:00:00.000,66,44
2017-06-30T09:00:00.000,295,135
2017-06-03T19:00:00.000,85,45
2017-06-10T05:00:00.000,14,5
2017-06-06T12:00:00.000,110,53
2017-06-12T08:00:00.000,594,330
2017-06-04T21:00:00.000,28,10
2017-06-18T11:00:00.000,136,75
2017-06-03T11:00:00.000,154,78
2017-06-16T02:00:00.000,2,0
2017-06-23T04:00:00.000,10,5
2017-06-05T19:00:00.000,276,92
2017-06-26T23:00:00.000,20,10
2017-06-17T00:00:00.000,25,7
2017-06-15T21:00:00.000,24,7
2017-06-12T02:00:00.000,3,2
2017-06-16T08:00:00.000,446,256
2017-06-04T20:00:00.000,48,31
2017-06-20T12:00:00.000,74,33
2017-06-05T10:00:00.000,117,64
2017-06-02T10:00:00.000,120,63
2017-06-13T03:00:00.000,3,1
2017-06-23T17:00:00.000,621,170
2017-06-30T18:00:00.000,361,112
2017-06-26T02:00:00.000,2,1
2017-06-12T03:00:00.000,2,0
2017-06-19T10:00:00.000,111,49
2017-06-21T10:00:00.000,118,60
2017-06-28T04:00:00.000,9,4
2017-06-22T01:00:00.000,9,6
2017-06-24T11:00:00.000,207,113
2017-06-17T08:00:00.000,101,52
2017-06-22T07:00:00.000,483,266
2017-06-12T12:00:00.000,74,37
2017-06-14T03:00:00.000,2,2
2017-06-26T20:00:00.000,137,51
2017-06-27T07:00:00.000,515,292
2017-06-22T13:00:00.000,99,54
2017-06-04T17:00:00.000,146,61
2017-06-12T13:00:00.000,62,31
2017-06-24T12:00:00.000,200,95
2017-06-29T18:00:00.000,498,143
2017-06-22T05:00:00.000,51,38
2017-06-07T21:00:00.000,99,49
2017-06-03T15:00:00.000,163,85
2017-06-27T05:00:00.000,52,35
2017-06-23T12:00:00.000,128,70
2017-06-15T06:00:00.000,97,55
2017-06-14T05:00:00.000,55,36
2017-06-21T13:00:00.000,78,35
2017-06-07T04:00:00.000,9,5
2017-06-15T23:00:00.000,5,1
2017-06-17T10:00:00.000,182,74
2017-06-19T04:00:00.000,7,3
2017-06-20T11:00:00.000,79,31
2017-06-15T00:00:00.000,6,1
2017-06-10T03:00:00.000,5,0
2017-06-26T09:00:00.000,317,153
2017-01-08T04:00:00.000,0,0
2017-06-03T12:00:00.000,150,79
2017-06-18T21:00:00.000,40,14
2017-06-06T14:00:00.000,125,56
2017-06-01T12:00:00.000,59,25
2017-06-03T20:00:00.000,95,42
2017-06-14T19:00:00.000,256,88
2017-06-03T01:00:00.000,7,1
2017-06-27T19:00:00.000,267,95
2017-06-15T05:00:00.000,39,26
2017-06-21T00:00:00.000,5,2
2017-06-25T01:00:00.000,10,3
2017-06-24T17:00:00.000,142,67
2017-06-04T11:00:00.000,148,74
2017-06-01T06:00:00.000,162,96
2017-06-22T23:00:00.000,32,14
2017-06-24T07:00:00.000,88,41
2017-06-22T21:00:00.000,102,43
2017-06-26T10:00:00.000,110,55
2017-06-19T11:00:00.000,75,39
2017-06-13T08:00:00.000,501,279
2017-06-16T22:00:00.000,42,16
2017-06-27T01:00:00.000,7,6
2017-06-20T08:00:00.000,501,282
2017-06-26T21:00:00.000,97,43
2017-01-11T02:00:00.000,0,0
2017-06-23T07:00:00.000,394,215
2017-06-23T02:00:00.000,5,2
2017-06-04T05:00:00.000,7,4
2017-06-21T02:00:00.000,3,2
2017-06-20T02:00:00.000,3,1
2017-06-15T11:00:00.000,37,16
2017-06-15T22:00:00.000,20,7
2017-06-16T14:00:00.000,139,49
2017-06-29T21:00:00.000,136,72
2017-06-11T12:00:00.000,165,84
2017-06-23T06:00:00.000,153,90
2017-06-21T06:00:00.000,188,101
2017-06-30T00:00:00.000,16,4
2017-06-13T01:00:00.000,3,2
2017-06-04T16:00:00.000,220,126
2017-06-05T12:00:00.000,87,47
2017-06-28T21:00:00.000,114,53
2017-06-20T04:00:00.000,12,8
2017-01-16T03:00:00.000,0,0
2017-06-05T09:00:00.000,313,165
2017-06-07T00:00:00.000,10,5
2017-06-03T00:00:00.000,22,5
2017-06-22T22:00:00.000,88,46
2017-01-18T02:00:00.000,0,0
2017-06-14T01:00:00.000,2,1
2017-06-18T19:00:00.000,85,52
2017-06-22T02:00:00.000,3,0
2017-06-08T01:00:00.000,5,3
2017-06-08T13:00:00.000,32,17
2017-06-19T15:00:00.000,130,63
2017-06-28T16:00:00.000,353,112
2017-06-16T19:00:00.000,172,71
2017-06-11T19:00:00.000,106,57
2017-06-17T21:00:00.000,51,21
2017-06-12T19:00:00.000,205,78
2017-06-29T15:00:00.000,221,94
2017-06-29T17:00:00.000,749,173
2017-06-30T08:00:00.000,540,302
2017-06-30T02:00:00.000,4,2
2017-06-14T12:00:00.000,92,47
2017-01-03T03:00:00.000,0,0
2017-06-28T00:00:00.000,12,4
2017-06-16T23:00:00.000,40,25
2017-06-05T00:00:00.000,5,3
2017-06-29T10:00:00.000,143,58
2017-06-21T08:00:00.000,609,337
2017-06-10T21:00:00.000,57,35
2017-06-06T03:00:00.000,2,1
2017-06-11T11:00:00.000,168,82
2017-06-24T16:00:00.000,144,60
2017-06-26T11:00:00.000,81,40
2017-06-21T22:00:00.000,81,31
2015-11-08T04:00:00.000,0,0
2017-06-07T16:00:00.000,385,98
2017-06-05T23:00:00.000,31,16
2017-06-29T09:00:00.000,358,185
2017-06-02T21:00:00.000,84,29
